prompt_task,img_task_1,img_task_2,img_task_3,img_task_4,img_task_5
prompt1,0.9951,1.0000,1.0000,1.0000,1.0000
prompt2,0.0010,0.9969,1.0000,1.0000,1.0000
prompt3,0.0000,0.0001,0.9801,1.0000,1.0000
prompt4,0.0000,0.0000,0.0278,0.9921,1.0000
prompt5,0.0000,0.0000,0.0000,0.0049,0.9848
